OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
24,2021,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,942000510,810 4TH AVE,SEATTLE,WA,98104,47.60515,-122.33159,DOWNTOWN,1,1907,5,1,57452,57452,0,,105.3000031,105.1999969,6043709,6049763,205.3999939,205.3000031,Mixed Use Property,Social/Meeting Hall,16442,Restaurant,15505,Office,9741,871303,1618290,14525,Compliant,No Issue,2972887,1452532,223.8,3.9
25,2021,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,NonResidential,942000610,700 3RD AVE,SEATTLE,WA,98104,47.60376,-122.33194,DOWNTOWN,7,1916,10,1,104352,104352,0,91,58.5,58.5,6107224,6107224,119.8000031,119.8000031,Hotel,Hotel,104352,NA,,NA,,946552,2877026,6,Compliant,No Issue,3229637,561,252.2,2.4
26,2021,KING COUNTY COURTHOUSE,NonResidential,942000860,516 3RD AVE,SEATTLE,WA,98104,47.60265,-122.33051,DOWNTOWN,1,1916,10,1,540360,540360,0,42,118.5,117.9000015,63318804,63660368,216.5,215.8000031,Courthouse,Courthouse,501287,Barracks,35863,NA,,8277903,0,350746,Compliant,No Issue,28244205,35074600,1979.7,3.7
27,2021,KING COUNTY CORRECTIONAL FACILITY,NonResidential,942001010,500 5TH AVE,SEATTLE,WA,98104,47.60378,-122.32842,DOWNTOWN,1,1985,19,1,385274,385274,0,,129.6999969,128.8999939,43745240,43993560,214,213.1999969,Prison/Incarceration,Prison/Incarceration,339315,Parking,45959,NA,,4424835,0,286477,Compliant,No Issue,15097537,28647703,1583.9,4.1
28,2021,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,1102000138,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,SOUTHEAST,1,1961,2,1,56228,56228,0,88,32.59999847,33.09999847,1845289,1815351,59.09999847,59.70000076,K-12 School,K-12 School,55715,NA,,NA,,232186,0,10531,Compliant,No Issue,792218,1053071,59.2,1.1
29,2021,WATERTOWN HOTEL,NonResidential,1142000755,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65958,-122.31738,NORTHEAST,1,2001,6,1,88592,58006,30586,98,46.29999924,46.20000076,3129392,3137222,100.4000015,100.1999969,Hotel,Hotel,67770,Parking,30586,NA,,587322,0,11254,Compliant,No Issue,2003942,1125450,68.1,1.2
30,2021,CORNISH (Main Campus Center),NonResidential,660001420,1000 LENORA ST,SEATTLE,WA,98121,47.61816,-122.33629,DOWNTOWN,7,1928,7,1,126593,126593,0,,63.29999924,64.30000305,8035524,7915248,112.4000015,113.4000015,College/University,College/University,125000,NA,,NA,,960986,0,47566,Compliant,No Issue,3278884,4756641,266.2,2.1
32,2021,HOMEWOOD SUITES -SEATTLE - Hilton,NonResidential,660001832,1011 PIKE ST,SEATTLE,WA,98101,47.61301,-122.32929,EAST,1,1991,8,1,158676,128375,30301,56,64.40000153,64.40000153,9833682,9833682,128.8999939,128.8999939,Hotel,Hotel,152708,Parking,42000,Swimming Pool,0,1568110,0,44833,Compliant,No Issue,5350391,4483290,260.2,2
33,2021,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,660002680,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,DOWNTOWN,1,2001,10,1,171866,133585,38281,70,73.5,73.5,9477854,9477854,159.8000031,159.8000031,Hotel,Hotel,128909,Parking,38301,NA,,1782723,0,33952,Compliant,No Issue,6082651,3395203,205.5,1.5
34,2021,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,688000090,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,SHARED: CENTRAL & EAST,3,1955,1,1,126351,126351,0,32,57.40000153,58,6918559,6843525,89.40000153,90.09999847,K-12 School,K-12 School,119254,NA,,NA,,582772,0,49301,Compliant,No Issue,1988417,4930142,270.1,2.1
35,2021,HOTEL FIVE,NonResidential,697000170,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,DOWNTOWN,1,1978,5,1,68410,52210,16200,87,59.5,59.5,3108714,3108714,130.3999939,130.3999939,Hotel,Hotel,52210,Parking,15400,NA,,593665,0,10831,Compliant,No Issue,2025585,1083129,65.9,1.3
36,2021,JANE ADDAMS MIDDLE (SPS-DISTRICT),SPS-District K-12,752000170,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,NORTH,1,1949,2,1,160645,160645,0,58,49.79999924,50.79999924,8480687,8305799,69.80000305,70.90000153,K-12 School,K-12 School,166917,NA,,NA,,491984,0,68020,Compliant,No Issue,1678650,6802038,368.2,2.3
37,2021,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,809000005,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,7,1989,2,1,51582,51582,0,69,28.60000038,28.39999962,1561386,1571981,80.09999847,79.59999847,K-12 School,K-12 School,54946,NA,,NA,,457616,0,0,Compliant,No Issue,1561386,0,6.5,0.1
38,2021,GOOD SHEPHERD CENTER,NonResidential,825049102,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,47.6641,-122.33118,LAKE UNION,1,1906,3,1,87262,87262,0,,52.70000076,53.40000153,4189624,4134163,76.30000305,76.90000153,Office,Office,43615,K-12 School,23177,Other - Entertainment/Public Assembly,5919,273677,0,32558,Compliant,No Issue,933787,3255837,176.8,2
40,2021,SILVER CLOUD INN UNIVERSITY,NonResidential,925049117,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,NORTHEAST,1,1994,4,1,81871,81871,0,83,67.59999847,67.40000153,5520926,5535408,130.1999969,130.1000061,Hotel,Hotel,81871,NA,,NA,,812396,0,27490,Compliant,No Issue,2771896,2749031,157.5,1.9
41,2021,2746 NE 45TH ST - PUBLIC STORAGE,NonResidential,925049330,2746 NE 45TH ST,SEATTLE,WA,98105,47.66172,-122.29598,NORTHEAST,1,1955,2,1,26225,26225,0,,5.599999905,5.599999905,256698,255614,14.10000038,14.10000038,Self-Storage Facility,Self-Storage Facility,45574,NA,,NA,,62602,0,431,Compliant,No Issue,213598,43100,3.2,0.1
43,2021,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,Campus,22000005,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,GREATER DUWAMISH,1,1992,3,1,2026324,2026324,0,,258.1000061,260.5,518003488,513240768,398,400.5,Mixed Use Property,Office,686180,Laboratory,639946,Non-Refrigerated Warehouse,480625,42283728,0,3737314,Compliant,No Issue,144272080,373731400,20445.7,10.1
50,2021,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,369000400,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,7,1990,2,1,54986,54986,0,63,39.20000076,39.59999847,2086557,2066342,81.69999695,82.59999847,K-12 School,K-12 School,52669,NA,,NA,,361504,0,8531,Compliant,No Issue,1233452,853105,50.4,0.9
51,2021,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,425049022,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,NORTHEAST,4,1950,2,1,175565,175565,0,83,47.09999847,48.09999847,8630056,8463571,60.79999924,61.70000076,K-12 School,K-12 School,179513,NA,,NA,,338233,0,74760,Compliant,No Issue,1154052,7476004,401.8,2.3
52,2021,SALMON BAY CENTER 5305 & 5309,NonResidential,467000429,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,47.66587,-122.38476,BALLARD,1,1961,2,1,94900,94900,0,16,115.4000015,116.5,5781567,5727479,251.5,252.6000061,Office,Office,28055,Non-Refrigerated Warehouse,21562,NA,,1082384,0,20885,Compliant,No Issue,3693094,2088472,126.2,1.3
53,2021,EL CENTRO DE LA RAZA,NonResidential,570000340,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,GREATER DUWAMISH,2,1900,2,1,52554,52554,0,78,47.70000076,48.40000153,2851998,2809572,73.80000305,74.5,Office,Office,51029,Other - Education,7849,NA,,232739,0,20579,Compliant,No Issue,794105,2057893,112.6,2.1
54,2021,BLANCHET HIGH SCHOOL,NonResidential,625049002,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,NORTHWEST,1,1954,3,1,175015,175015,0,77,46.20000076,45.70000076,8682372,8774814,74,73.5,K-12 School,K-12 School,190000,Parking,0,NA,,811954,0,59120,Not Compliant,Missing 2021 EUI or Electricity Data,2770388,5911984,325.4,1.9
55,2021,VINE ST MINI STORAGE,NonResidential,653000225,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,DOWNTOWN,1,1911,3,1,70586,70586,0,,28.20000076,28.60000038,2013577,1989550,58.90000153,59.29999924,Self-Storage Facility,Self-Storage Facility,42298,Vocational School,28197,NA,,346021,0,8330,Compliant,No Issue,1180624,832953,49.1,0.7
56,2021,HILTON SEATTLE,NonResidential,7802920020,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,DOWNTOWN,1,1969,24,1,332210,126240,205970,93,44.09999847,44.09999847,10348514,10348514,104.4000015,104.4000015,Hotel,Hotel,234630,Hotel,126240,NA,,2280785,0,25665,Compliant,No Issue,7782038,2566478,168.5,1.3
57,2021,5TH & PINE,NonResidential,1975700200,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,DOWNTOWN,1,1973,5,1,88717,88717,0,70,38.70000076,38.70000076,6566530,6566530,108.5,108.5,Office,Office,103855,Retail Store,65676,Data Center,493,1924540,0,0,Compliant,No Issue,6566530,0,27.2,0.3
"58,2021,CENTURY SQUARE RETAIL,NonResidential,1975700365,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,DOWNTOWN,1,1920,2,1,57428,57428,0,,22.10000038,22.10000038,1269108,1269108,60.59999847,60.59999847,Other - Mall,Other - Mall,57428,""Personal Services (Health/Beauty, Dry Cleaning, etc)"",0,NA,,359369,0,429,Compliant,No Issue,1226168,42940,7.4,0.1"
59,2021,GIBRALTAR TOWER,NonResidential,1975700380,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,DOWNTOWN,1,1910,8,1,59400,59400,0,,28.89999962,28.89999962,1589889,1589889,81,81,Office,Office,48366,Retail Store,6619,NA,,465970,0,0,Compliant,No Issue,1589889,0,6.6,0.1
60,2021,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1975700525,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,DOWNTOWN,1,1926,2,1,52549,52549,0,,150.8000031,149.5,7841478,7911592,236.1999969,234.8000031,Mixed Use Property,Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,683983,0,55077,Compliant,No Issue,2333751,5507728,302.2,5.8
61,2021,PALIHOTEL,NonResidential,1975700600,107 PINE ST,SEATTLE,WA,98101,47.60973,-122.34038,DOWNTOWN,1,1900,4,1,50510,50510,0,,,,,,,,Hotel,Hotel,46409,NA,,NA,,0,0,0,Not Compliant,Missing 2021 EUI or Electricity Data,0,0,0,0
62,2021,HOTEL THEODORE (ROOSEVELT),NonResidential,1976700010,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,DOWNTOWN,1,1930,20,1,98634,88591,10043,84,58.90000153,60.29999924,5467388,5340482,128.8999939,132.8000031,Hotel,Hotel,83591,Parking,10043,Restaurant,7057,1021968,1268105,7123,Compliant,No Issue,3486955,712327,157.5,1.8
63,2021,SHERATON GRAND SEATTLE - (Parent Building),Campus,1976700095,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,DOWNTOWN,1,1982,34,2,1083197,926614,156583,91,56.79999924,56.70000076,56395556,56446484,123.5,123.4000015,Hotel,Hotel,994212,Parking,117668,Swimming Pool,0,10504820,4869042,156841,Compliant,No Issue,35842446,15684081,1385.4,1.5
65,2021,INN AT THE MARKET,NonResidential,1977200050,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,DOWNTOWN,1,1985,7,1,71150,57420,13730,78,83.5,83.5,4792858,4792858,157.3999939,157.3999939,Hotel,Hotel,57420,Parking,13730,NA,,670922,0,25037,Compliant,No Issue,2289185,2503673,142.4,2.5
66,2021,MOORE HOTEL & THEATRE,NonResidential,1977201035,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,DOWNTOWN,1,1908,7,1,122810,122810,0,,32,32.90000153,4038437,3929823,43.5,44.40000153,Hotel,Hotel,90874,Other - Entertainment/Public Assembly,26450,Restaurant,5486,203938,0,33426,Compliant,No Issue,695837,3342600,180.4,1.5
68,2021,HOLIDAY INN - SEATTLE,NonResidential,1991200935,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,LAKE UNION,7,2000,7,1,150453,115718,34735,97,46.90000153,46.79999924,5411756,5423372,99.80000305,99.69999695,Hotel,Hotel,115718,Parking,34735,NA,,980748,0,20654,Compliant,No Issue,3346313,2065444,123.5,1.1
69,2021,FAIRFIELD INN,NonResidential,1991200940,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,LAKE UNION,1,1997,6,1,116300,88100,28200,99,37.09999847,37.09999847,3279989,3279989,76.30000305,76.30000305,Hotel,Hotel,88490,NA,,NA,,554441,0,13882,Compliant,No Issue,1891754,1388235,81.6,0.9
70,2021,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,1992200235,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,1,1998,6,1,155602,118858,36744,63,56.90000153,56.90000153,6761224,6761224,121,121,Hotel,Hotel,118858,Parking,36744,NA,,1220259,0,25977,Compliant,No Issue,4163524,2597700,155.2,1.3
73,2021,SEATTLE HEBREW ACADEMY,NonResidential,2125049015,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,EAST,1,1911,3,1,56072,56072,0,59,58.59999847,59.70000076,4006083,3928438,76.5,77.69999695,K-12 School,K-12 School,67064,NA,,NA,,168598,0,34308,Compliant,No Issue,575256,3430827,184.6,3.3
77,2021,FOUR POINTS SHERATON SEATTLE CENTER,NonResidential,2249000170,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,1,1999,4,1,122942,78051,44891,100,33.09999847,33.09999847,2580550,2580550,69.80000305,69.80000305,Hotel,Hotel,78051,Parking,44891,NA,,458773,0,10152,Compliant,No Issue,1565333,1015217,60.4,0.8
82,2021,WA DEPT OF SOCIAL & HEALTH SERVICES (DSHS),NonResidential,2254501944,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,CENTRAL,1,1962,2,1,54984,54984,0,62,73.59999847,73.5,4042606,4047738,126.6999969,127.6999969,Office,Office,54984,NA,,NA,,464867,0,24565,Compliant,No Issue,1586126,2456480,137,2.5
84,2021,PROVIDENCE MT ST VINCENT,NonResidential,2324039001,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,SOUTHWEST,1,1922,5,1,371257,296313,74944,44,152.8000031,151.8000031,44967996,45263316,223.8999939,222.8000031,NA,Senior Living Community,296313,Parking,0,NA,,3149638,0,342214,Compliant,No Issue,10746565,34221428,1862,6.3
85,2021,FOSS HOME AND VILLAGE,NonResidential,2426039059,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,NORTHWEST,1,1970,2,1,93397,93397,0,1,162.3999939,163,15225579,15165001,267.5,269.2999878,NA,Senior Living Community,93397,NA,,NA,,1535177,0,99876,Compliant,No Issue,5238024,9987555,552.1,5.9
86,2021,SCCA - ALLIANCE HOUSE,NonResidential,2467400430,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,LAKE UNION,1,2008,6,1,84103,63371,20732,84,58.79999924,59,3737385,3728713,146.3000031,146.5,Hotel,Hotel,63371,Parking,20732,NA,,897133,0,6764,Compliant,No Issue,3061019,676366,48.6,0.8
87,2021,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,2518400005,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,SOUTHWEST,1,2016,3,1,78972,78972,0,96,29.60000038,29.89999962,2689854,2659014,40.70000076,40.90000153,K-12 School,K-12 School,89973,NA,,NA,,359910,0,14618,Compliant,No Issue,1228011,1461843,82.7,1
89,2021,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),NonResidential,1978201270,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,EAST,1,1965,3,2,329489,179014,150475,,174.3000031,174.5,20097586,20073396,321.7000122,322.2999878,Parking,Parking,150475,Medical Office,115149,NA,,2680829,0,109506,Compliant,No Issue,9146989,10950599,619.4,3.5
95,2021,SORRENTO HOTEL,NonResidential,1979200270,900 MADISON ST,SEATTLE,WA,98104,47.60898,-122.32693,EAST,1,1908,7,1,76631,76631,0,83,96.90000153,96.90000153,7426154,7426154,136.8000031,136.8000031,Hotel,Hotel,76631,NA,,NA,,449465,0,58926,Compliant,No Issue,1533576,5892578,319.3,4.2
96,2021,PUGET SOUND BLOOD CENTER,NonResidential,1979200290,921 TERRY AVE,SEATTLE,WA,98104,47.60845,-122.32637,EAST,1,1983,6,1,121099,96783,24316,30,137.3999939,138.6999969,13427937,13293625,303.1000061,307.5,Medical Office,Medical Office,96783,Parking,24316,NA,,2497391,4906839,0,Compliant,No Issue,8521098,0,442.6,4.6
100,2021,CITY PLACE III (Obidos/Rufus),NonResidential,1983200325,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,LAKE UNION,1,2010,5,2,438093,287367,150726,,,,,,,,NA,NA,,NA,,NA,,0,0,0,Contact the Help Desk,Unknown - Contact the Help Desk,0,0,0,0
102,2021,MARRIOTT RESIDENCE INN,NonResidential,1984200065,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,LAKE UNION,1,1990,7,1,282863,238097,44766,82,70.69999695,70.90000153,16931560,16890682,132.8999939,133.1000061,Hotel,Hotel,238793,Parking,51537,NA,,2344105,0,89335,Compliant,No Issue,7998086,8933474,507.5,2.1
104,2021,BAGLEY WRIGHT THEATER - SEATTLE CENTER,Nonresidential COS,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1,1962,1,1,65127,65127,0,,70.5,70.09999847,4554484,4584359,150.3000031,149.6999969,Other,Other,65000,NA,,NA,,781774,1861640,0,Compliant,No Issue,2667414,0,165.6,2.5
106,2021,ARMORY - SEATTLE CENTER,Nonresidential COS,1985200305,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1,1938,5,1,396085,396085,0,,22.89999962,22.79999924,6343064,6368135,52.79999924,52.59999847,Other,Other,278500,NA,,NA,,1290294,1940580,0,Compliant,No Issue,4402483,0,179.3,0.5
107,2021,CITY PLACE IV (Ruby/Dawson),NonResidential,1986200410,301 BOREN AVE N,SEATTLE,WA,98109,47.62112,-122.33629,LAKE UNION,7,2010,12,1,571329,571329,0,84,49.59999847,49.59999847,28353604,28353604,129.6000061,129.6000061,Office,Office,544487,Parking,190000,College/University,21819,7412016,0,30638,Compliant,No Issue,25289799,3063806,267.3,0.5
